Date,4015.SR,3090.SR,4011.SR,1831.SR,2320.SR,4050.SR,2270.SR,1212.SR,4090.SR,1833.SR,2282.SR,6014.SR,4321.SR,4260.SR,4100.SR,6004.SR,3004.SR,4030.SR,1830.SR,4051.SR,2381.SR,2120.SR,4164.SR,3050.SR,4261.SR,1303.SR,2190.SR,2283.SR,3080.SR,3010.SR,1111.SR,4150.SR,7203.SR,2222.SR,4142.SR,2083.SR,4320.SR,4003.SR,4190.SR,5110.SR,6070.SR,1302.SR,2082.SR,3007.SR,4322.SR,2223.SR,1180.SR,1120.SR,3040.SR,4012.SR,7010.SR,4013.SR,7202.SR,3003.SR,1010.SR,3020.SR,7020.SR,1060.SR,3030.SR,4001.SR,1050.SR,1080.SR,1140.SR,4200.SR,1322.SR,4163.SR,2230.SR,4004.SR,4002.SR,2290.SR,2280.SR,2020.SR,2250.SR,2010.SR,2080.SR,2310.SR,3092.SR,2300.SR,4191.SR,4291.SR,4162.SR,4161.SR,4007.SR,1301.SR,4292.SR,1150.SR,4192.SR,4323.SR,1030.SR,2150.SR,4082.SR,7200.SR,1183.SR,3060.SR,1321.SR,1202.SR,4071.SR,8250.SR,8010.SR,8210.SR,2281.SR,4280.SR,2030.SR,4006.SR,2050.SR,7030.SR,1210.SR,4005.SR,6002.SR,1182.SR,3002.SR,6015.SR,2040.SR,2330.SR,4180.SR,7204.SR,2081.SR,1020.SR,2170.SR,4014.SR,4081.SR,1304.SR,4141.SR,2090.SR,2070.SR,3005.SR,6001.SR,4290.SR,4008.SR,1832.SR,2360.SR,8270.SR,4031.SR,8060.SR
2023-08-14,108.3979721069336,14.628396987915039,13.853585243225098,5.8505401611328125,20.13856315612793,63.505435943603516,312.0625,87.77423858642578,28.54230308532715,128.73263549804688,72.46121978759766,116.54486083984375,20.74235725402832,65.03981018066406,58.83503341674805,103.02335357666016,10.831934928894043,16.896154403686523,141.92298889160156,6.610686779022217,179.81150817871094,27.932844161987305,138.7444610595703,45.62920379638672,67.74636840820312,1.6876167058944702,26.87965202331543,80.78620910644531,40.642356872558594,32.57787322998047,175.74349975585938,19.03641700744629,692.249267578125,31.740694046020508,59.989871978759766,73.94751739501953,24.059911727905273,70.71212005615234,13.579394340515137,19.376800537109375,46.70452117919922,33.25286865234375,188.80735778808594,34.27901840209961,8.579483985900879,129.0341033935547,32.2686882019043,69.553955078125,62.91109848022461,4.917136192321777,38.025917053222656,257.0517272949219,315.6171875,19.897233963012695,26.910850524902344,33.20348358154297,42.489803314208984,33.52755355834961,50.297515869140625,13.592275619506836,16.341283798217773,16.989059448242188,26.8454532623291,92.0483627319336,52.93080139160156,90.53276062011719,4.42411470413208,147.5170135498047,106.08796691894531,40.99089050292969,63.36041259765625,125.6294174194336,9.78768253326416,79.33394622802734,62.78413009643555,33.80666732788086,28.6558780670166,27.720258712768555,29.635345458984375,101.03469848632812,65.94660949707031,6.438234329223633,50.68693161010742,27.25197982788086,73.23737335205078,26.85012435913086,8.158024787902832,48.070350646972656,12.10634994506836,36.437828063964844,13.215461730957031,159.9254608154297,19.100000381469727,35.793025970458984,61.28499221801758,32.45000076293945,187.27272033691406,27.907812118530273,115.9856185913086,180.91729736328125,110.66287231445312,7.14287805557251,87.69999694824219,26.299999237060547,22.963668823242188,11.856260299682617,34.76708221435547,117.17936706542969,34.349998474121094,13.013333320617676,13.0600004196167,4.250616550445557,23.360000610351562,44.0,3.490000009536743,12.149999618530273,108.96276092529297,11.609600067138672,47.531524658203125,51.78461456298828,14.720498085021973,24.27604103088379,44.03172302246094,24.719999313354492,39.79999923706055,18.200000762939453,58.79999923706055,21.260000228881836,32.400001525878906,3.509999990463257,44.95000076293945,19.68000030517578,31.160816192626953,18.780000686645508
2023-08-15,109.34883117675781,14.421035766601562,13.716226577758789,5.803129196166992,20.13856315612793,63.40774154663086,310.41046142578125,86.23095703125,28.590679168701172,129.11691284179688,71.6778564453125,116.35379791259766,21.102155685424805,66.76908111572266,58.27546691894531,103.02335357666016,10.699143409729004,16.78774642944336,145.907470703125,6.487916946411133,176.7831268310547,27.461801528930664,143.87635803222656,45.253658294677734,67.97453308105469,1.6537741422653198,26.309764862060547,81.14566040039062,40.45907974243164,31.901981353759766,180.02516174316406,18.861412048339844,700.1157836914062,31.557226181030273,63.00349426269531,74.92695617675781,23.76886749267578,70.07669830322266,13.455625534057617,19.450267791748047,46.26893615722656,33.727909088134766,185.41799926757812,33.46965789794922,8.532081604003906,128.8571014404297,31.864206314086914,69.553955078125,62.45785140991211,4.862400054931641,37.3845100402832,257.2451477050781,323.222412109375,19.250755310058594,26.73263168334961,32.25751495361328,41.57308578491211,32.7896728515625,50.207698822021484,13.118547439575195,16.083940505981445,16.62334442138672,26.303443908691406,91.31197357177734,52.26199722290039,90.2516098022461,4.433946132659912,145.96009826660156,104.5532455444336,40.61866760253906,63.93905258178711,125.80940246582031,9.811419486999512,78.78491973876953,62.973812103271484,33.62318801879883,28.52362060546875,27.3631534576416,29.30813980102539,98.10333251953125,64.7425308227539,6.221744537353516,49.748287200927734,26.687171936035156,74.01238250732422,26.47616958618164,8.069135665893555,47.97420883178711,11.963079452514648,35.813724517822266,13.178182601928711,157.97515869140625,19.15999984741211,35.422115325927734,60.13589859008789,31.850000381469727,190.72726440429688,27.950878143310547,119.4210205078125,191.8878173828125,108.54951477050781,7.133540630340576,87.69999694824219,25.700000762939453,22.58721351623535,11.837850570678711,34.18843460083008,114.64048767089844,34.400001525878906,12.888888359069824,12.739999771118164,4.319812297821045,23.15999984741211,42.95000076293945,3.430000066757202,11.869999885559082,107.40815734863281,11.545599937438965,46.283226013183594,50.41154098510742,14.682705879211426,23.803131103515625,43.1499137878418,24.459999084472656,39.29999923706055,17.799999237060547,57.400001525878906,21.260000228881836,31.649999618530273,3.4600000381469727,44.54999923706055,19.479999542236328,30.776113510131836,18.639999389648438
2023-08-16,109.1586685180664,14.232525825500488,13.716226577758789,5.803129196166992,19.386892318725586,63.896244049072266,313.898193359375,86.32740783691406,28.44554901123047,127.00337219238281,72.06954193115234,117.50015258789062,20.81431770324707,65.8083724975586,57.79582977294922,101.07952117919922,10.793993949890137,16.756772994995117,144.9587860107422,6.421810150146484,177.35093688964844,27.508907318115234,141.31040954589844,44.1739501953125,67.30905151367188,1.6627990007400513,25.6448974609375,80.06731414794922,40.000885009765625,32.262454986572266,178.4681854248047,18.666967391967773,693.232666015625,31.60308837890625,63.94524383544922,72.67424774169922,24.307952880859375,69.35051727294922,13.278810501098633,19.34006690979004,46.7529182434082,33.775413513183594,187.61111450195312,33.75531005859375,8.503641128540039,128.8571014404297,31.54960823059082,69.26654815673828,61.55134201049805,4.835031986236572,37.15544509887695,254.53726196289062,317.3283386230469,19.17892074584961,26.509859085083008,31.68993377685547,41.93976974487305,32.14402389526367,50.0280647277832,13.191429138183594,16.062496185302734,16.62334442138672,26.303443908691406,91.31197357177734,52.16645050048828,89.1269760131836,4.433946132659912,142.26242065429688,102.05931854248047,40.61866760253906,64.61412048339844,124.90946197509766,9.78768253326416,79.05943298339844,62.78413009643555,33.714927673339844,28.17093276977539,27.675621032714844,29.07442283630371,98.49417877197266,67.2433090209961,6.212331295013428,49.748287200927734,26.404766082763672,72.4623794555664,26.363981246948242,8.029629707336426,47.87806701660156,11.90577220916748,35.6216926574707,13.215461730957031,163.6310577392578,19.31999969482422,35.14392852783203,59.65711212158203,32.099998474121094,200.0,27.778608322143555,121.8748779296875,199.20150756835938,108.54951477050781,7.14287805557251,86.80000305175781,25.700000762939453,22.555843353271484,11.819439888000488,33.70623016357422,114.44518280029297,34.29999923706055,12.977776527404785,12.760000228881836,4.309927463531494,22.8799991607666,42.349998474121094,3.4000000953674316,11.789999961853027,109.81071472167969,11.55840015411377,47.09941864013672,51.39230728149414,14.588221549987793,23.310516357421875,43.267486572265625,24.200000762939453,40.20000076293945,17.579999923706055,57.20000076293945,21.780000686645508,32.0,3.3499999046325684,43.70000076293945,19.579999923706055,30.487586975097656,18.940000534057617
2023-08-17,107.63728332519531,14.194823265075684,13.65735912322998,5.736753463745117,19.01105499267578,62.82154083251953,310.5939636230469,88.44942474365234,28.155288696289062,129.11691284179688,71.1882553100586,118.8375473022461,20.868288040161133,64.65552520751953,57.23625564575195,102.24581909179688,10.661203384399414,16.927127838134766,145.1485137939453,6.4973602294921875,178.2973175048828,27.367591857910156,142.59339904785156,44.83116149902344,65.97807312011719,1.6402372121810913,25.549915313720703,78.18020629882812,39.77177810668945,31.947040557861328,176.7165985107422,18.5502986907959,695.3958740234375,32.153507232666016,65.92293548583984,71.40098571777344,24.28835105895996,69.713623046875,13.367218017578125,19.303335189819336,46.46253204345703,33.58539581298828,188.4086151123047,33.37443161010742,8.494161605834961,129.0341033935547,31.90914535522461,69.93717193603516,62.548492431640625,4.853277206420898,37.2470703125,251.4425811767578,312.19482421875,19.17892074584961,26.688079833984375,32.30481719970703,41.57308578491211,32.559085845947266,50.0280647277832,13.31897258758545,16.40561866760254,17.055551528930664,26.399093627929688,90.72286987304688,51.975372314453125,89.97045135498047,4.41428279876709,141.48399353027344,105.32061004638672,40.57213592529297,64.71055603027344,124.18954467773438,9.850981712341309,79.15093231201172,60.69765090942383,33.48556900024414,28.21502113342285,29.01476287841797,28.887447357177734,99.27587127685547,67.61380004882812,6.127618312835693,48.80964279174805,26.35770034790039,73.8186264038086,26.887521743774414,7.970370292663574,47.9261360168457,11.834136009216309,34.99760055541992,13.14090347290039,164.99627685546875,19.600000381469727,35.653934478759766,59.65711212158203,32.25,193.63636779785156,27.563270568847656,120.72974395751953,193.04261779785156,105.66767120361328,7.096192359924316,85.5999984741211,25.799999237060547,22.744070053100586,11.819439888000488,33.56156539916992,113.07809448242188,34.150001525878906,12.888888359069824,12.720000267028809,4.112224102020264,22.959999084472656,41.95000076293945,3.390000104904175,11.90999984741211,109.38673400878906,11.494400024414062,46.955387115478516,50.86922836303711,14.550429344177246,23.054357528686523,42.85597610473633,23.81999969482422,39.70000076293945,17.399999618530273,56.20000076293945,21.600000381469727,31.049999237060547,3.3399999141693115,44.29999923706055,19.440000534057617,30.67993927001953,18.8799991607666
2023-08-20,106.30608367919922,14.34563159942627,13.65735912322998,5.660895347595215,18.760498046875,61.45372772216797,310.9610900878906,88.83525085449219,28.106910705566406,121.0470962524414,70.89449310302734,120.36600494384766,20.706378936767578,62.9262580871582,56.67668533325195,100.4963607788086,10.718113899230957,17.871826171875,144.3895721435547,6.506804466247559,176.02601623535156,27.226280212402344,141.67697143554688,44.5025634765625,64.64710998535156,1.6582865715026855,25.787368774414062,77.01199340820312,40.27579879760742,31.811861038208008,178.66281127929688,18.803081512451172,694.2159423828125,32.10763168334961,64.227783203125,70.42154693603516,24.40597152709961,69.62284088134766,13.34953498840332,19.376800537109375,45.978546142578125,33.25286865234375,188.20924377441406,33.08877182006836,8.513121604919434,126.20207977294922,32.2686882019043,70.03296661376953,62.185890197753906,4.807663917541504,37.33869934082031,253.18336486816406,310.8638916015625,19.050817489624023,27.178173065185547,31.879131317138672,41.435585021972656,33.20472717285156,49.040077209472656,13.373632431030273,16.59862518310547,17.454511642456055,26.74980354309082,89.10281372070312,52.16645050048828,85.9405288696289,4.355294704437256,147.7116241455078,108.96558380126953,40.66519546508789,64.4212417602539,123.4695816040039,9.949888229370117,80.52349853515625,60.03377151489258,33.8525390625,29.449426651000977,31.068115234375,28.934192657470703,98.88501739501953,68.9104995727539,6.01466703414917,48.34031295776367,26.404766082763672,72.94676208496094,26.962312698364258,7.990123748779297,53.06966781616211,11.991734504699707,35.42966842651367,13.14090347290039,164.41119384765625,19.31999969482422,35.00483703613281,60.04014587402344,33.349998474121094,187.63636779785156,27.52020263671875,121.22051239013672,201.89602661132812,100.8646011352539,7.002821445465088,85.5999984741211,25.799999237060547,23.214637756347656,11.893081665039062,33.465126037597656,114.44518280029297,34.79999923706055,12.853333473205566,12.84000015258789,4.250616550445557,23.040000915527344,42.29999923706055,3.4200000762939453,11.800000190734863,108.2561264038086,11.494400024414062,46.23521423339844,50.607688903808594,14.531532287597656,23.17258644104004,42.26810073852539,23.479999542236328,40.0,17.399999618530273,56.79999923706055,21.280000686645508,31.5,3.3299999237060547,44.849998474121094,19.68000030517578,29.814359664916992,18.739999771118164
2023-08-21,108.0330810546875,14.138270378112793,13.559245109558105,5.452286243438721,19.198974609375,59.98822021484375,305.6376953125,90.66789245605469,27.91340446472168,122.0077896118164,71.09033203125,119.21966552734375,20.310598373413086,62.34983444213867,56.67668533325195,100.4963607788086,10.642233848571777,17.593063354492188,144.3895721435547,6.336815357208252,177.54025268554688,26.896549224853516,140.21070861816406,44.1739501953125,64.07669830322266,1.6312124729156494,24.98002815246582,77.55117797851562,40.22934341430664,31.496448516845703,184.11221313476562,18.764188766479492,690.0859985351562,31.60308837890625,65.92293548583984,69.14827728271484,24.13152503967285,69.35051727294922,13.19040298461914,19.321701049804688,45.10737228393555,33.25286865234375,186.4148712158203,32.99355697631836,8.465721130371094,126.37908172607422,32.13385772705078,69.45814514160156,62.3671989440918,4.835031986236572,36.834739685058594,251.4425811767578,316.5678405761719,18.849512100219727,26.73263168334961,31.83183479309082,41.16056442260742,32.7896728515625,48.950260162353516,13.410072326660156,16.727298736572266,17.52100372314453,26.303443908691406,88.36642456054688,52.26199722290039,87.15887451171875,4.315969467163086,144.01394653320312,108.00637817382812,40.47908020019531,65.0963134765625,124.00955200195312,9.850981712341309,79.88296508789062,59.27505111694336,33.62318801879883,28.303190231323242,30.57709503173828,28.653730392456055,97.51705169677734,70.0219497680664,5.977015972137451,48.2464485168457,26.545969009399414,72.4623794555664,26.775331497192383,7.960494518280029,54.41563415527344,12.034714698791504,35.42966842651367,13.14090347290039,163.6310577392578,19.219999313354492,34.68029022216797,59.94438552856445,32.650001525878906,190.72726440429688,26.31431007385254,121.8748779296875,200.35629272460938,100.09609985351562,6.937461853027344,84.0,25.350000381469727,23.30875015258789,11.819439888000488,33.465126037597656,120.10885620117188,34.54999923706055,12.871110916137695,12.65999984741211,4.240731239318848,22.8799991607666,41.900001525878906,3.299999952316284,11.510000228881836,106.5602035522461,11.41759967803955,46.187198638916016,49.7576904296875,14.399255752563477,23.15287971496582,42.32688903808594,23.059999465942383,38.29999923706055,17.280000686645508,54.70000076293945,20.700000762939453,31.100000381469727,3.299999952316284,44.0,19.68000030517578,29.141132354736328,18.280000686645508
2023-08-22,109.76007843017578,14.138270378112793,13.441509246826172,5.575555324554443,18.885778427124023,60.86751937866211,302.8841857910156,88.1600570678711,27.768274307250977,125.85054016113281,71.1882553100586,122.8672866821289,20.400550842285156,62.638038635253906,56.596744537353516,101.07952117919922,10.661203384399414,17.608549118041992,145.1485137939453,6.280152797698975,177.35093688964844,26.849445343017578,139.47760009765625,43.563690185546875,64.36190795898438,1.6582865715026855,25.16999053955078,77.73088836669922,39.532527923583984,30.91067123413086,182.94448852539062,18.472518920898438,702.0824584960938,31.557226181030273,66.11128234863281,69.54005432128906,24.307952880859375,69.25975036621094,13.278810501098633,19.119667053222656,45.39776611328125,33.110355377197266,188.4086151123047,32.89833450317383,8.494161605834961,125.49406433105469,31.90914535522461,69.6497573852539,61.73263931274414,4.7894182205200195,37.06381607055664,248.92816162109375,331.96844482421875,18.721406936645508,26.73263168334961,31.68993377685547,41.61892318725586,32.69743728637695,48.50117492675781,13.300751686096191,16.276948928833008,17.08879852294922,26.04837989807129,88.36642456054688,51.975372314453125,87.0651626586914,4.453608989715576,142.06781005859375,106.08796691894531,39.82769775390625,62.396018981933594,122.92964172363281,9.874719619750977,80.52349853515625,59.08536911010742,33.577308654785156,28.52362060546875,31.425220489501953,28.653730392456055,97.90789794921875,68.72525787353516,5.9205403327941895,47.9648551940918,25.887027740478516,72.8498764038086,26.55095672607422,8.128395080566406,55.28090286254883,11.877118110656738,35.52568054199219,13.15954303741455,163.6310577392578,19.18000030517578,34.541194915771484,58.89105224609375,32.75,188.90908813476562,26.40044403076172,121.05693054199219,195.15972900390625,99.90398406982422,6.872102737426758,83.69999694824219,24.899999618530273,23.183265686035156,12.095595359802246,32.93470001220703,118.74176025390625,34.20000076293945,12.835555076599121,12.65999984741211,4.20119047164917,22.719999313354492,41.95000076293945,3.2799999713897705,11.470000267028809,108.11479187011719,11.353599548339844,46.0911750793457,50.346153259277344,14.32366943359375,22.955833435058594,42.50325012207031,23.0,38.349998474121094,17.1200008392334,54.5,20.459999084472656,31.299999237060547,3.309999942779541,44.04999923706055,19.3799991607666,28.996870040893555,18.059999465942383
2023-08-23,109.18441009521484,14.157122611999512,13.500377655029297,5.736753463745117,18.729177474975586,60.76982116699219,301.0317077636719,87.96714782714844,27.71989631652832,122.9684829711914,71.28617858886719,120.56352996826172,20.256629943847656,61.485191345214844,57.79582977294922,101.4682846069336,10.699143409729004,17.685983657836914,148.184326171875,6.289596080780029,176.02601623535156,26.802343368530273,139.47760009765625,43.563690185546875,64.26683044433594,1.6943854093551636,25.075008392333984,76.7424087524414,39.25380325317383,31.000797271728516,188.1992645263672,18.453073501586914,759.1143188476562,31.64895248413086,66.39381408691406,71.20509338378906,24.072715759277344,68.07969665527344,13.084311485290527,19.101301193237305,45.5429573059082,33.110355377197266,190.40235900878906,32.61267852783203,8.475200653076172,125.49406433105469,31.684436798095703,69.45814514160156,61.09809494018555,4.798541069030762,36.65148162841797,246.80056762695312,339.3835144042969,18.721406936645508,26.509859085083008,31.737234115600586,41.61892318725586,32.236263275146484,48.50117492675781,13.373632431030273,16.469955444335938,16.789579391479492,26.207794189453125,88.36642456054688,51.49765396118164,86.50284576416016,4.42411470413208,141.09475708007812,103.78588104248047,40.0138053894043,62.685340881347656,122.38968658447266,9.910325050354004,80.52349853515625,58.80084991455078,33.25621795654297,28.6558780670166,30.934202194213867,28.747217178344727,99.6667251586914,70.3924560546875,5.892302513122559,50.49919891357422,25.887027740478516,72.3655014038086,26.32658576965332,8.079012870788574,53.55036926269531,11.819808959960938,35.42966842651367,13.178182601928711,164.0211181640625,19.239999771118164,34.031192779541016,59.27408218383789,32.20000076293945,186.36363220214844,26.615785598754883,119.09384155273438,193.42755126953125,100.09609985351562,6.900113582611084,84.80000305175781,24.260000228881836,22.744070053100586,12.334929466247559,33.0311393737793,117.9605712890625,33.79999923706055,12.835555076599121,12.640000343322754,4.369238376617432,22.760000228881836,41.79999923706055,3.319999933242798,11.670000076293945,108.11479187011719,11.315199851989746,46.04316711425781,50.54230499267578,14.28587532043457,23.192291259765625,42.385677337646484,23.040000915527344,38.150001525878906,16.940000534057617,55.400001525878906,20.959999084472656,31.299999237060547,3.3399999141693115,45.20000076293945,19.459999084472656,29.237308502197266,17.860000610351562
2023-08-24,110.33573913574219,14.11941909790039,13.500377655029297,5.575555324554443,19.44953155517578,61.942230224609375,304.3662414550781,88.54588317871094,27.62314224243164,123.7370376586914,71.48201751708984,121.71540832519531,20.220651626586914,61.485191345214844,58.51527786254883,103.02335357666016,10.699143409729004,18.212535858154297,148.56378173828125,6.270508289337158,177.35093688964844,26.849445343017578,141.31040954589844,44.22090148925781,66.92878723144531,1.7237156629562378,25.16999053955078,75.21475219726562,39.48607635498047,30.91067123413086,190.7293701171875,18.453073501586914,757.934326171875,31.786563873291016,66.39381408691406,71.79275512695312,24.05311393737793,68.62433624267578,12.995904922485352,18.86253547668457,45.88174819946289,32.87283706665039,192.39610290527344,32.945945739746094,8.456241607666016,126.02506256103516,31.99903106689453,69.26654815673828,60.735496520996094,4.816786289215088,36.55986022949219,246.60714721679688,346.4183654785156,18.61160659790039,26.73263168334961,31.5953426361084,41.481414794921875,32.60519790649414,48.41135787963867,13.50117301940918,16.64151954650879,17.155292510986328,26.239675521850586,91.31197357177734,51.4021110534668,86.12796020507812,4.404451847076416,141.09475708007812,103.59403991699219,39.78116989135742,63.64972686767578,122.20970153808594,9.910325050354004,80.34048461914062,58.895687103271484,33.16447830200195,29.934371948242188,30.978839874267578,29.728830337524414,101.42554473876953,71.41128540039062,5.85465145111084,50.405338287353516,25.98116111755371,72.6561279296875,26.47616958618164,8.13827133178711,52.877384185791016,11.619230270385742,35.42966842651367,13.15954303741455,163.6310577392578,19.15999984741211,34.031192779541016,59.56135177612305,32.45000076293945,186.36363220214844,26.228174209594727,120.56615447998047,197.4693145751953,100.67247772216797,6.890776634216309,84.0,24.020000457763672,22.273502349853516,12.574264526367188,32.886474609375,118.1558609008789,34.0,12.817776679992676,12.760000228881836,4.359353065490723,22.760000228881836,41.95000076293945,3.319999933242798,11.720000267028809,106.70153045654297,11.302399635314941,46.04316711425781,50.607688903808594,14.248082160949707,23.33022117614746,42.32688903808594,23.139999389648438,38.04999923706055,17.139999389648438,54.70000076293945,21.239999771118164,31.850000381469727,3.549999952316284,44.70000076293945,19.219999313354492,29.429658889770508,17.799999237060547
2023-08-27,111.87083435058594,14.289079666137695,13.735849380493164,5.5850372314453125,19.418210983276367,64.48245239257812,306.5892028808594,89.1246109008789,27.526390075683594,123.16061401367188,71.77986145019531,121.71540832519531,20.23863983154297,64.19635009765625,58.51527786254883,105.7447280883789,10.73708438873291,18.19704818725586,147.42535400390625,6.241875171661377,179.62225341796875,26.990758895874023,142.04351806640625,44.314788818359375,67.02384185791016,1.7710951566696167,25.787368774414062,74.495849609375,40.136436462402344,31.271148681640625,192.48095703125,18.5502986907959,786.6468505859375,31.92416763305664,66.86469268798828,71.9886474609375,24.05311393737793,68.26124572753906,13.048952102661133,19.046201705932617,45.978546142578125,33.06285095214844,193.39297485351562,32.85072708129883,8.465721130371094,125.49406433105469,32.2686882019043,69.45814514160156,61.09809494018555,4.807663917541504,36.88056182861328,246.41375732421875,342.2354736328125,18.629905700683594,26.777185440063477,31.5953426361084,41.93976974487305,32.7896728515625,48.950260162353516,13.53836727142334,16.727298736572266,17.022306442260742,26.781686782836914,92.0483627319336,51.30656814575195,85.75308990478516,4.365126609802246,142.55938720703125,103.97772216796875,40.10686111450195,64.90343475341797,122.38968658447266,9.9696683883667,80.88951873779297,58.99052429199219,33.39383316040039,29.625768661499023,33.567848205566406,30.056034088134766,104.35692596435547,70.11458587646484,5.807589530944824,50.68693161010742,25.792892456054688,73.3342514038086,26.438772201538086,8.118518829345703,52.49281692504883,11.762500762939453,34.75756072998047,13.271380424499512,163.8260955810547,19.100000381469727,33.89209747314453,61.47650909423828,33.0,186.5454559326172,26.18510627746582,121.38410186767578,198.431640625,103.17008209228516,6.900113582611084,84.0,24.3799991607666,22.932296752929688,12.519033432006836,33.0793571472168,121.86654663085938,34.29999923706055,12.835555076599121,12.920000076293945,4.339582443237305,22.8799991607666,42.650001525878906,3.359999895095825,11.739999771118164,107.69081115722656,11.366399765014648,47.339481353759766,50.28076934814453,14.32366943359375,23.211994171142578,42.444461822509766,23.31999969482422,37.79999923706055,16.940000534057617,55.29999923706055,21.299999237060547,32.150001525878906,3.5199999809265137,44.900001525878906,19.020000457763672,29.718183517456055,17.739999771118164
